date,time,name,original_poster
2022-10-09,08:30,can,emre
2022-10-09,08:30,this,NA
2022-10-09,08:30,this,NA
2022-10-09,08:30,clem,logicalglobalcitizen
2022-10-09,08:30,zlem,emre
2022-10-09,08:30,john,NA
2022-10-09,08:30,tom,the
2022-10-09,08:30,arthurs,NA
2022-10-09,08:30,justjoe,NA
2022-10-09,08:30,nikki,NA
2022-10-09,08:30,kqueen,ultra
2022-10-09,08:30,gary,NA
2022-10-09,08:30,mindy,joe
2022-10-09,08:30,robby,arron
2022-10-09,08:30,leandro,philipp
2022-10-09,08:30,neo,NA
2022-10-09,08:30,lindsay,NA
2022-10-09,08:30,nola,NA
2022-10-09,08:30,lisa,NA
2022-10-09,08:30,dennis,joe
2022-10-09,08:30,william,NA
2022-10-09,08:30,inspiredgh,NA
2022-10-09,08:30,john,this
2022-10-09,08:30,two,shivam
2022-10-09,08:30,john,etienorbxs
2022-10-09,08:30,victoriaqweavermsrdn,carl
2022-10-09,08:30,richard,carl
2022-10-09,08:30,tempearthling,lyn
2022-10-09,08:30,james,shaun
2022-10-09,08:30,tasnim,vinusquad
2022-10-09,08:30,jake,the
2022-10-09,08:30,joe,NA
2022-10-09,08:30,photosbyianj,politicsvideochannel
2022-10-09,08:30,bayram,liz
2022-10-09,08:30,malik,malik
2022-10-09,08:30,dylan,NA
2022-10-09,08:30,eileen,elaine
2022-10-09,08:30,luis,NA
2022-10-09,08:30,tangobastogne,NA
2022-10-09,08:30,redit,NA
2022-10-09,08:30,grumpy,ikechukwu
2022-10-09,08:30,infospectives,NA
2022-10-09,08:30,expert,NA
2022-10-09,08:30,mary,joe
2022-10-09,08:30,linda,julia
2022-10-09,08:30,gnral,wall
2022-10-09,08:30,florence,NA
2022-10-09,08:30,akikorbxs,atefehrbxs
2022-10-09,08:30,sebastin,lauren
2022-10-09,08:30,walter,NA
2022-10-09,08:30,matt,zarah
2022-10-09,08:30,akikorbxs,atefehrbxs
2022-10-09,08:30,mark,NA
2022-10-09,08:30,the,wall
2022-10-09,08:30,jamie,joe
2022-10-09,08:30,matthew,joe
2022-10-09,08:30,zizou,peter
2022-10-09,08:30,akikorbxs,atefehrbxs
2022-10-09,08:30,nwab,malik
2022-10-09,08:30,standlogic,cali
2022-10-09,08:30,shahzad,imran
2022-10-09,08:30,power,NA
2022-10-09,08:30,gentelman,NA
2022-10-09,08:30,anton,mayor
2022-10-09,08:30,thenabster,NA
2022-10-09,08:30,charles,NA
2022-10-09,08:30,maverickbitcoin,NA
2022-10-09,08:30,phx,drchimp
2022-10-09,08:30,jolly,joe
2022-10-09,08:30,claudia,joe
2022-10-09,08:30,gyan,prashant
2022-10-09,08:30,bhakt,prashant
2022-10-09,08:30,mathieu,NA
2022-10-09,08:30,another,child
2022-10-09,08:30,rifle,NA
2022-10-09,08:30,sonottrumpeveragain,omar
2022-10-09,08:30,xram,ovie
2022-10-09,08:30,randhir,NA
