date,time,name,original_poster
2022-10-12,04:00,oluwapelumi,NA
2022-10-12,04:00,takecare,NA
2022-10-12,04:00,arabin,NA
2022-10-12,04:00,ima,uproxx
2022-10-12,04:00,peter,watoday
2022-10-12,04:00,america,NA
2022-10-12,04:00,verifavia,NA
2022-10-12,04:00,hehe,greg
2022-10-12,04:00,mhd,omnia
2022-10-12,04:00,gordon,fossil
2022-10-12,04:00,reuters,NA
2022-10-12,04:00,amicus,NA
2022-10-12,04:00,aryan,cse
2022-10-12,04:00,lorrie,NA
2022-10-12,04:00,dan,NA
2022-10-12,04:00,trevor,NA
2022-10-12,04:00,libsoftitter,NA
2022-10-12,04:00,dirk,chris
2022-10-12,04:00,mike,ajit
2022-10-12,04:00,christian,NA
2022-10-12,04:00,how,NA
2022-10-12,04:00,vikki,ketan
2022-10-12,04:00,timeless,chain
2022-10-12,04:00,agadir,NA
2022-10-12,04:00,iona,fridays
2022-10-12,04:00,andrea,NA
2022-10-12,04:00,corrado,pedro
2022-10-12,04:00,green,sid
2022-10-12,04:00,mae,NA
2022-10-12,04:00,timmymyboy,rep
2022-10-12,04:00,brykasema,NA
2022-10-12,04:00,abrar,hands
2022-10-12,04:00,mzee,NA
2022-10-12,04:00,floridadem,floridakeysdems
2022-10-12,04:00,amiya,NA
2022-10-12,04:00,brigitte,NA
2022-10-12,04:00,mikk,mitch
2022-10-12,04:00,tomthunkit,NA
2022-10-12,04:00,camilo,jonathan
2022-10-12,04:00,shayne,NA
2022-10-12,04:00,ohmsgenesis,NA
2022-10-12,04:00,keeks,clyde
2022-10-12,04:00,okcultra,greg
2022-10-12,04:00,ukraine,NA
2022-10-12,04:00,soniarandhawa,greenpeace
2022-10-12,04:00,marianne,united
2022-10-12,04:00,coop,kevin
2022-10-12,04:00,city,undp
2022-10-12,04:00,john,NA
2022-10-12,04:00,mariah,mike
2022-10-12,04:00,department,the
2022-10-12,04:00,flyfisha,NA
2022-10-12,04:00,chad,NA
2022-10-12,04:00,adv,devinder
2022-10-12,04:00,shaun,NA
2022-10-12,04:00,atlien,NA
2022-10-12,04:00,joe,NA
2022-10-12,04:00,nuraddin,president
2022-10-12,04:00,jeanphilippe,the
2022-10-12,04:00,travamus,NA
2022-10-12,04:00,katniss,madeline
2022-10-12,04:00,green,alphonce
2022-10-12,04:00,philli,NA
2022-10-12,04:00,climate,NA
2022-10-12,04:00,hswain,jeff
2022-10-12,04:00,blank,russel
2022-10-12,04:00,the,NA
2022-10-12,04:00,green,stockholm
2022-10-12,04:00,donald,NA
2022-10-12,04:00,eric,president
2022-10-12,04:00,kenny,NA
2022-10-12,04:00,deb,rep
2022-10-12,04:00,justanotherbloke,NA
2022-10-12,04:00,irena,avi
2022-10-12,04:00,nelson,economist
2022-10-12,04:00,valarie,cambridge
2022-10-12,04:00,travis,sritama
2022-10-12,04:00,mandy,kat
2022-10-12,04:00,vampire,uproxx
2022-10-12,04:00,ultra,kat
2022-10-12,04:00,eloise,george
2022-10-12,04:00,sushant,NA
2022-10-12,04:00,super,axios
2022-10-12,04:00,marianne,news
2022-10-12,04:00,alt,NA
2022-10-12,04:00,john,maze
2022-10-12,04:00,bill,jwaggo
2022-10-12,04:00,arizona,dcdc
2022-10-12,04:00,dorklepuss,NA
2022-10-12,04:00,average,NA
2022-10-12,04:00,stand,salty
2022-10-12,04:00,vik,secretary
2022-10-12,04:00,kristen,rep
2022-10-12,04:00,michael,kevin
2022-10-12,04:00,rdukester,NA
2022-10-12,04:00,cybersku,NA
2022-10-12,04:00,realduplojulian,parentsforfuture
2022-10-12,04:00,seth,ifrc
2022-10-12,04:00,philli,russel
2022-10-12,04:00,jeremy,NA
2022-10-12,04:00,cartojj,NA
2022-10-12,04:00,gros,NA
2022-10-12,04:00,cwolf,NA
2022-10-12,04:00,lou,NA
2022-10-12,04:00,chigozie,NA
2022-10-12,04:00,rooster,NA
2022-10-12,04:00,scottishmum,NA
2022-10-12,04:00,arno,NA
2022-10-12,04:00,david,mike
2022-10-12,04:00,stop,greg
2022-10-12,04:00,ozbushie,NA
2022-10-12,04:00,eduardo,ahead
2022-10-12,04:00,susan,steventyler
2022-10-12,04:00,tony,NA
2022-10-12,04:00,mark,NA
2022-10-12,04:00,light,NA
2022-10-12,04:00,greg,cambridge
2022-10-12,04:00,nadir,NA
2022-10-12,04:00,actlikeourhouseisonfireitis,ben
2022-10-12,04:00,exceedinglyclevername,NA
2022-10-12,04:00,coop,NA
2022-10-12,04:00,the,mark
2022-10-12,04:00,sahana,NA
2022-10-12,04:00,matt,dimitry
2022-10-12,04:00,rick,rnc
2022-10-12,04:00,stop,NA
2022-10-12,04:00,abo,sail
2022-10-12,04:00,alan,NA
2022-10-12,04:00,qwert,theluckyheron
2022-10-12,04:00,steve,NA
2022-10-12,04:00,arizona,central
2022-10-12,04:00,jay,NA
2022-10-12,04:00,rita,kevin
2022-10-12,04:00,nix,nicole
2022-10-12,04:00,vala,climate
2022-10-12,04:00,wesley,NA
2022-10-12,04:00,mandy,NA
2022-10-12,04:00,nomanzland,suit
2022-10-12,04:00,the,NA
2022-10-12,04:00,diana,daneg
2022-10-12,04:00,ozzie,NA
2022-10-12,04:00,luis,greta
2022-10-12,04:00,sfstuttgart,gianluca
2022-10-12,04:00,gloria,tirrc
2022-10-12,04:00,asha,david
2022-10-12,04:00,australian,NA
2022-10-12,04:00,tracy,NA
2022-10-12,04:00,kyle,NA
2022-10-12,04:00,titapt,kevin
2022-10-12,04:00,aztuc,kevin
2022-10-12,04:00,redfrog,greenpeace
2022-10-12,04:00,ddover,NA
2022-10-12,04:00,anna,saudi
2022-10-12,04:00,hunter,alan
2022-10-12,04:00,wayne,NA
2022-10-12,04:00,blakandblack,NA
2022-10-12,04:00,rohan,javier
2022-10-12,04:00,catherine,fao
2022-10-12,04:00,approved,NA
2022-10-12,04:00,madison,NA
2022-10-12,04:00,dreamchaos,uproxx
2022-10-12,04:00,ricardo,rep
2022-10-12,04:00,hammers,dan
2022-10-12,04:00,unlisted,NA
2022-10-12,04:00,luqman,world
2022-10-12,04:00,rohan,hannah
2022-10-12,04:00,ron,NA
2022-10-12,04:00,tautahi,restore
2022-10-12,04:00,mike,avi
2022-10-12,04:00,megldy,angela
2022-10-12,04:00,robert,tim
2022-10-12,04:00,long,the
2022-10-12,04:00,joe,NA
2022-10-12,04:00,drew,chrisnoblenz
2022-10-12,04:00,yunisiyeon,uproxx
2022-10-12,04:00,kevin,bernies
2022-10-12,04:00,luq,aroe
2022-10-12,04:00,diana,NA
2022-10-12,04:00,crimsondynamo,NA
2022-10-12,04:00,thevisionarycreation,jim
2022-10-12,04:00,matt,david
2022-10-12,04:00,srini,ajit
2022-10-12,04:00,sara,daniel
2022-10-12,04:00,dave,kevin
2022-10-12,04:00,lex,NA
2022-10-12,04:00,smitinnc,mike
2022-10-12,04:00,jeffrey,NA
2022-10-12,04:00,andrea,NA
2022-10-12,04:00,karen,dylan
2022-10-12,04:00,marco,julius
2022-10-12,04:00,cathy,ultra
2022-10-12,04:00,lynn,mike
2022-10-12,04:00,ian,nigel
2022-10-12,04:00,super,parentsforfuture
2022-10-12,04:00,perplexed,maze
2022-10-12,04:00,earth,esg
2022-10-12,04:00,stefan,NA
2022-10-12,04:00,sarah,grace
2022-10-12,04:00,lisa,avi
2022-10-12,04:00,travamus,NA
2022-10-12,04:00,democrats,dpl
2022-10-12,04:00,allen,NA
2022-10-12,04:00,bidens,greg
2022-10-12,04:00,trendradars,NA
2022-10-12,04:00,sciencestop,julius
2022-10-12,04:00,kim,NA
2022-10-12,04:00,docvalerie,NA
2022-10-12,04:00,memo,wildlife
2022-10-12,04:00,marilyn,lynda
2022-10-12,04:00,spiny,NA
2022-10-12,04:00,costa,jason
2022-10-12,04:00,hunter,NA
2022-10-12,04:00,patrick,jason
2022-10-12,04:00,another,NA
2022-10-12,04:00,telsa,greg
2022-10-12,04:00,terry,NA
2022-10-12,04:00,saxe,NA
2022-10-12,04:00,easwaran,NA
2022-10-12,04:00,cody,NA
2022-10-12,04:00,thebison,NA
2022-10-12,04:00,annika,sumofus
2022-10-12,04:00,linda,bear
2022-10-12,04:00,theringa,greg
2022-10-12,04:00,david,NA
2022-10-12,04:00,fischer,the
2022-10-12,04:00,covert,miss
2022-10-12,04:00,rtr,maze
2022-10-12,04:00,climateemergency,adam
2022-10-12,04:00,melisa,mark
2022-10-12,04:00,alex,saudi
2022-10-12,04:00,sqpndaeth,NA
2022-10-12,04:00,hal,jason
2022-10-12,04:00,bitcoin,earthling
2022-10-12,04:00,eric,maze
2022-10-12,04:00,marni,daily
2022-10-12,04:00,steve,NA
2022-10-12,04:00,gotalot,NA
2022-10-12,04:00,gobz,NA
2022-10-12,04:00,justin,NA
2022-10-12,04:00,jesse,NA
2022-10-12,04:00,gay,maze
2022-10-12,04:00,desiderata,wittgenstein
2022-10-12,04:00,peter,the
2022-10-12,04:00,getahun,ethiopian
2022-10-12,04:00,damon,NA
2022-10-12,04:00,jonathan,steve
2022-10-12,04:00,blain,NA
2022-10-12,04:00,john,NA
2022-10-12,04:00,regulation,NA
2022-10-12,04:00,caroline,NA
2022-10-12,04:00,feduppp,maze
2022-10-12,04:00,saami,NA
2022-10-12,04:00,melissa,NA
2022-10-12,04:00,hal,kevin
2022-10-12,04:00,karia,mike
2022-10-12,04:00,fischer,the
2022-10-12,04:00,kibler,jason
2022-10-12,04:00,chrissie,bavarian
2022-10-12,04:00,amizzle,NA
2022-10-12,04:00,scott,NA
2022-10-12,04:00,earnest,elizabeth
2022-10-12,04:00,mark,NA
2022-10-12,04:00,conservative,NA
2022-10-12,04:00,beverly,president
2022-10-12,04:00,zahra,NA
2022-10-12,04:00,news,NA
2022-10-12,04:00,taedigieth,tom
2022-10-12,04:00,copy,cambridge
2022-10-12,04:00,pauline,caroline
2022-10-12,04:00,catherine,james
2022-10-12,04:00,vanessafiji,nicholas
2022-10-12,04:00,battlehardened,NA
2022-10-12,04:00,jeff,seth
2022-10-12,04:00,rousseau,angela
2022-10-12,04:00,linda,kat
2022-10-12,04:00,bitcoin,earthling
2022-10-12,04:00,daifishskull,NA
2022-10-12,04:00,johann,NA
2022-10-12,04:00,eric,greg
2022-10-12,04:00,mark,NA
2022-10-12,04:00,ugh,NA
2022-10-12,04:00,johnny,rep
2022-10-12,04:00,erin,freeappleseed
2022-10-12,04:00,avi,NA
2022-10-12,04:00,cal,maze
2022-10-12,04:00,michelle,baldrick
2022-10-12,04:00,david,NA
2022-10-12,04:00,moonlitmonkeyeth,NA
2022-10-12,04:00,marlene,president
2022-10-12,04:00,bitcoin,earthling
2022-10-12,04:00,tyler,kevin
2022-10-12,04:00,purevdorj,paypal
2022-10-12,04:00,brad,NA
2022-10-12,04:00,borislav,avi
2022-10-12,04:00,brad,NA
2022-10-12,04:00,nolovelostlostlove,seb
2022-10-12,04:00,ponderings,daily
2022-10-12,04:00,heywood,NA
2022-10-12,04:00,satisfied,thestarkenya
2022-10-12,04:00,bella,NA
2022-10-12,04:00,rustynail,marc
